,overall_sentiment_score,BTC_sentiment,ETH_sentiment,BTC_relevance,ETH_relevance,timestamp
86,-0.00161,,0.009383,,0.331098,2022-03-07 16:10:00
87,-0.349991,-0.128965,,0.139024,,2022-03-07 16:11:00
88,-0.053174,-0.016658,-0.032669,0.544308,0.196371,2022-03-07 16:30:00
89,-0.131634,-0.137867,,0.499514,,2022-03-07 16:50:00
90,-0.0585,,-0.0585,,0.999415,2022-03-07 17:00:00
91,-0.04493283333333334,-0.010412750000000002,0.009498000000000003,0.9621385,0.563912,2022-03-07 17:01:00
92,-0.135968,-0.135968,,0.455322,,2022-03-07 17:08:00
93,0.076617,0.140672,,0.468243,,2022-03-07 17:22:00
94,0.030197,0.083488,,0.040219,,2022-03-07 17:31:00
95,0.071518,,0.093451,,0.457977,2022-03-07 17:32:00
96,0.135651,0.039407,,0.155184,,2022-03-07 17:46:00
97,-0.290709,0.005374,,0.207868,,2022-03-07 17:59:00
98,-0.167473,-0.30463,,0.130855,,2022-03-07 18:09:00
99,-0.094989,,-0.094989,,0.999725,2022-03-07 18:10:00
100,0.064936,,0.092359,,0.190567,2022-03-07 18:11:00
101,0.069691,0.063381,0.063381,0.11983,0.11983,2022-03-07 18:46:00
102,0.055399000000000004,,0.0040685,,0.38567399999999996,2022-03-07 19:12:00
103,0.032017,0.066337,,0.40478,,2022-03-07 19:14:00
104,-0.652359,-0.759388,,0.162255,,2022-03-07 19:47:00
105,0.118502,,0.030641,,0.258716,2022-03-07 19:51:00
106,0.00959,0.004507,,0.078534,,2022-03-07 20:05:00
107,-0.14370233333333335,-0.058226,-0.048084666666666664,0.580472,0.17959566666666668,2022-03-07 20:08:00
108,-0.307013,-0.790848,,0.124939,,2022-03-07 20:11:00
109,0.030509,,0.03491,,0.259451,2022-03-07 20:22:00
110,0.124189,,0.03664,,0.035682,2022-03-07 20:38:00
111,-0.030014,0.016484,0.027274,0.661145,0.250129,2022-03-07 20:45:00
112,-0.084991,-0.142779,,0.248724,,2022-03-07 20:56:00
113,-0.0304445,0.025161000000000003,-0.002033,0.47316400000000003,0.830052,2022-03-07 20:57:00
114,0.022179,0.009167,0.009167,0.179254,0.179254,2022-03-07 21:00:00
115,-0.12263,-0.184178,-0.184178,0.298385,0.298385,2022-03-07 21:22:00
116,0.030555,,0.061303,,0.28878,2022-03-07 21:30:00
117,0.037503,,0.015357,,0.349904,2022-03-07 21:45:00
118,-0.07063,,-0.008326,,0.020917,2022-03-07 21:51:00
119,-0.118102,-0.025,,0.04546,,2022-03-07 22:18:00
120,-0.05919,,-0.05919,,0.482982,2022-03-07 22:36:00
121,-0.05731,-0.066391,,0.756393,,2022-03-07 22:45:00
122,0.01389,,0.022187,,0.092036,2022-03-07 23:03:00
123,0.030416,0.033371,,0.561538,,2022-03-07 23:20:00
124,-0.148197,-0.321796,,0.136094,,2022-03-07 23:30:00
125,-0.029122,-0.023757,-0.039345,0.393153,0.268442,2022-03-07 23:33:00
126,0.069251,,0.0089,,0.122176,2022-03-08 01:11:00
127,-0.029869,-0.029618500000000002,-0.030034,0.623607,0.251941,2022-03-08 02:12:00
128,-0.073618,,0.018019,,0.661787,2022-03-08 02:30:00
129,-0.045838,0.005608,,0.100476,,2022-03-08 03:04:00
130,-0.127601,-0.424073,,0.043217,,2022-03-08 03:21:00
131,-0.095277,-0.137078,0.012888,0.753943,0.336432,2022-03-08 04:26:00
132,0.185879,0.410186,,0.109206,,2022-03-08 05:48:00
133,0.01586,-0.226532,-0.011031,0.113597,0.608634,2022-03-08 06:01:00
134,-0.00795,0.020585,0.012112,0.148,0.074322,2022-03-08 06:20:00
135,-0.071929,-0.073681,,0.46529,,2022-03-08 06:34:00
136,0.051176,,0.011703,,0.141893,2022-03-08 08:01:00
137,-0.156059,-0.221174,,0.684305,,2022-03-08 08:12:00
138,-0.107437,-0.065188,0.002163,0.615922,0.228287,2022-03-08 09:23:00
139,-0.138212,-0.10451,0.040215,0.777037,0.315426,2022-03-08 09:59:00
140,-0.168586,-0.23164,-0.221634,0.648497,0.713022,2022-03-08 10:21:00
141,0.073344,-0.02314,0.005858,0.450695,0.310255,2022-03-08 10:28:00
142,0.00744,,0.008669,,0.749256,2022-03-08 10:33:00
143,-0.022865,-0.010759,-0.010759,0.231773,0.231773,2022-03-08 10:42:00
144,-0.414715,-0.620675,-0.620675,0.054594,0.054594,2022-03-08 10:43:00
145,-0.100549,0.008002,,0.100687,,2022-03-08 10:44:00
146,0.007694,-0.006355,-0.063222,0.154529,0.038862,2022-03-08 10:58:00
147,0.10221000000000001,0.01526725,0.15180500000000002,0.30734025000000004,0.377212,2022-03-08 11:00:00
148,-0.20736,-0.20736,-0.20736,0.138145,0.138145,2022-03-08 11:06:00
149,0.057558,0.153841,0.153929,0.736927,0.104751,2022-03-08 11:13:00
150,0.049175,0.048297,0.013182,0.83003,0.12119,2022-03-08 11:21:00
151,0.021268,0.030705,,0.096129,,2022-03-08 11:28:00
152,-0.304123,-0.304123,,0.347777,,2022-03-08 11:42:00
153,-0.060061,0.039549,,0.271174,,2022-03-08 11:56:00
154,0.133677,,0.137402,,0.125264,2022-03-08 12:01:00
155,0.083287,,0.068637,,0.158,2022-03-08 12:06:00
156,0.008719,-0.005466,0.00701,0.510838,0.270523,2022-03-08 12:10:00
157,0.023922,0.035595,,0.082308,,2022-03-08 12:15:00
158,0.090999,0.060037,0.060037,0.0726,0.0726,2022-03-08 12:30:00
159,0.159497,0.008327,0.00072,0.205545,0.103643,2022-03-08 12:35:00
160,-0.197087,-0.056136,,0.940212,,2022-03-08 12:40:00
161,-0.124466,-0.105422,-0.127132,0.115011,0.752803,2022-03-08 12:42:00
162,-0.034274,-0.296408,,0.269925,,2022-03-08 12:44:00
163,0.008727,0.002798,,0.067252,,2022-03-08 12:50:00
164,0.060411,0.012437,0.012437,0.410282,0.410282,2022-03-08 12:57:00
